total_spent,total_orders,avg_order_value,recency,CLV,churn_risk,norm_spent,norm_orders,norm_recency,future_spending
1950.58,1,1950.58,287,6.772847222222222,0.24776978417266185,0.32974106963243954,1.0,0.5870503597122303,5880.6316004817045
1145.97,1,1145.97,409,2.795048780487805,0.3530935251798561,0.1937235968617984,1.0,0.4115107913669065,3818.3400314428277
3322.14,1,3322.14,547,6.062299270072992,0.47223021582733815,0.5616001379429261,1.0,0.21294964028776975,8807.04913530359
3048.95,1,3048.95,378,8.044722955145119,0.32633093525179857,0.5154179958042359,1.0,0.45611510791366905,9229.649430581027
1819.17,1,1819.17,149,12.1278,0.12863309352517985,0.30752651090611255,1.0,0.7856115107913669,5602.769562930511
1220.6,1,1220.6,504,2.417029702970297,0.43510791366906476,0.20633962697933725,1.0,0.27482014388489207,2683.860401276338
839.8,1,839.8,179,4.665555555555556,0.1545323741007194,0.14196626145932117,1.0,0.7424460431654676,2409.2851865221432
2832.03,1,2832.03,254,11.106,0.21928057553956834,0.4787481679455125,1.0,0.6345323741007194,10614.126042031854
1448.91,1,1448.91,345,4.1876011560693644,0.29784172661870506,0.2449349081817398,1.0,0.5035971223021583,4533.383276534988
2504.61,1,2504.61,70,35.276197183098596,0.06043165467625899,0.42339856884214155,1.0,0.8992805755395683,10305.748109326452
1002.15,1,1002.15,531,1.8837406015037592,0.45841726618705037,0.16941115613414948,1.0,0.2359712230215827,2002.2029318830325
4590.0,1,4590.0,203,22.5,0.17525179856115108,0.7759289593930511,1.0,0.7079136690647482,18625.667850163747
1818.49,1,1818.49,362,5.0096143250688705,0.3125179856115108,0.307411558467684,1.0,0.479136690647482,6094.9526781807135
2951.2,1,2951.2,488,6.035173824130879,0.421294964028777,0.49889358278012463,1.0,0.297841726618705,6778.944201965149
774.52,1,774.52,322,2.3978947368421055,0.2779856115107914,0.13093082737017558,1.0,0.5366906474820143,2077.4423419926657
1805.91,1,1805.91,495,3.6409475806451614,0.4273381294964029,0.30528493835675485,1.0,0.28776978417266186,4062.174013650102
2371.84,1,2371.84,291,8.122739726027397,0.2512230215827338,0.40095410523895736,1.0,0.581294964028777,6913.793404056086
1135.77,1,1135.77,135,8.35125,0.11654676258992806,0.1919993102853694,1.0,0.8057553956834532,4142.464435689736
932.11,1,932.11,504,1.8457623762376238,0.43510791366906476,0.15757105497600365,1.0,0.27482014388489207,2311.8509126852155
639.37,1,639.37,139,4.566928571428571,0.12,0.1080840302324913,1.0,0.8,2109.518172530528
